屌丝	Loser
敢为正直，勇于正气，坚持正义，倡导廉洁	Dare to integrity, encourage healthy trends, persist in justice, advocate incorruption
感到困难是能力不足，觉得麻烦是方法不对	Feel difficulty because of incapability, Feel trouble because of wrong way
感染科更衣室	dressing room
感染科门诊	infectious disease
干部保健门诊	VIP clinic
干菜	Dried Vegetables
干处绦存	KEEP IN DRY PLACE
干果	Dry Fruits
干事	Staff
干鲜果品	Dry and Fresh Fruits
干鲜蔬菜	Dried and Fresh Vegetables
高碑店古典家具街	Gaobeidian Classical Furniture Street
高贵女装	Women's Luxury Wear
高级柜员	Senior Counter Associates
高速入口	Entry to motorway
高位妊娠门诊	high-risk pregnancy clinic
高血压、心脏病患者以及晕车、晕船、酗酒请勿乘坐	Drunks, sufferers of hypertension, heart disease and motion sickness not allowed on board
高压危险	Danger ,high voltage
歌厅	KTV
歌舞厅	Song and Dance Hall
革除马虎之心,提升品质之源	Take off careless concept to improve the root of quality
革故鼎新奋发图强	Discard the old ways of life in favor of the new; Be promising and diligent in one’s work
隔离产房	isolated delivery room
个贷业务	Personal Loan Business
个人金融产品销售	Personal Banking Sales
个人金融业务咨询	Personal Banking Consultation
个人理财业务	Personal Wealth Management Service
个人理财中心	Personal Finance Center
个人力量，微不足道	One man, no man
个人外汇业务	Personal Foreign Exchange Business
个人业务	Personal Banking
个人业务顾问	Personal Banker
各通道出口	Exit to all routes
各种……有货	All the range of … available
跟紧	Stay close
更衣室	Locker Room
工程类	Engineering
工地入口，危险	Site entrance, dangerous
工地入口请慢行	Slow, site entrance
工地危险，禁止入内	Danger，building site, keep out
工会	Labor Union
工会主席	Chairman of the Labor Union
工商类	Business Administration
工业	Industry
工艺品	Arts and Crafts
工作时工作，娱乐是娱乐	Work while you work, play while you play
公厕	Public toilet
公告	Notice
公告栏	Notice Board
公共场所	Public Places
公共广播系统	PA (Public Address System)
公共检索	Catalog Search
公共汽车道	Bus lane
公共汽车道结束	End of bus lane
公共汽车和长途汽车	Bus and Coach
公共汽车停车处	Bus stand
公共汽车问讯处	Bus information
公积金业务	Housing Provident Fund Business
公交换乘	Public Transport Transfer
公交专用道	Buses Only
公路和交通	Road and Traffic
公路上不得扔垃圾	Unlawful To Litter Highways
公司业务	Corporate Banking
公用	For public use
公园开放时间：上午8:00，下午6:00	This Park Opens At 8:00 A. M. And Closed At 6:.00P．M
公众不得入内	No entry for general public
公众区	Public Area
供应商优化——双赢、高效、廉洁合作	Supplier optimization: cooperation based on win-win, efficiency and sincerity
购票中请当面清点票款，门票售出，恕不退款	Check the change before you leave. No refund for tickets sold
购物车	Shopping Cart
购物筐	Shopping Basket
购物中心	Shopping Center
古籍	Ancient Works
骨科1-3	orthopaedics1-3
骨科急诊	orthopaedics emergency
骨科值班室	orthopaedics onwatch
骨外科	Orthopedic Surgery
钴60治疗室	CO-60 room
顾客服务处	Customer services
顾客至上	Customer care is our top priority
挂号收费处	registration & charge
关	Off
关闭	Stop
关门大甩卖	Closing Sale
观光梯	Sightseeing Elevator /Sightseeing Lift
观众入场门（单号）	Audience Entrance (Odd Numbers)
观众入场门（双号）	Audience Entrance (Even Numbers)
观众席	Audience Seats
观众止步	No Admittance
馆内禁止吸烟	No Smoking
馆内禁止喧哗	Quiet Please
管理	Administration
管理人员	Management Personnel
管理职责化、工作标准化、办事程序化	Do management as responsibility, do work with standard, handle affairs with procedure
盥洗室	Wash Room
罐头	Canned Food
光阴似箭	Time flies like a arrow
光阴一去不复返	All time is no time when it is past
光治疗室	phototherapy room
广播室	Radio Station
广播席	Radio Commentators
广告	Advertising
规格	Specifications
柜员主管	Counter Associates Supervisor
贵宾区	VIP Area
贵宾厅	VIP Lounge
贵宾停车场	VIP car park
贵宾席	VIP Box
贵宾专用	Distinguished Guests Only
贵宾专用通道	VIP Only
贵重物品，随身携带	Please don’t leave valuables unattended
贵重物品请随身保管	Please Don't Leave Your Valuables Unattended
贵重物品请自己妥善保管、如有丢失自己负责	Keep an eye on your belongings. Personal valuables left at the owner's risk
国际精品皮具	Luxury Leatherware
国际名表	FAMOUS BRAND WATCHES
国际名牌服饰	FAMOUS BRAND FASHION
国际名牌化妆品	FAMOUS BRAND COSMETICS
国际名牌精品	LUXURY ACCESSORIES
国际业务	International Business
国内航班	Domestic flights
国内信件	Country letters
国内长途电话	Nationalcalls
国外信件	Abroad letters
过敏性专科	Allergy and Immunology
孩子不犯错误才是错误	It is an erroneous belief that children make no mistakes
行包安全检查	Baggage Safety Check
行包托运部	Luggage Freight Department
行包托运须知	Notice on Baggage Check
行动胜于空谈.	Deeds, not words
行动胜于空谈	Deeds, not words
行动是成功的开始,等待是失败的源头	Action is the start for success, while waiting is the source of failure
行李不准放到过道上	Luggage must not be put in the gateway
行李存放处	Luggage Depositary
行李寄存	Left baggage
物品寄存	Luggage Deposit
行李领取处	Luggage Claim
行李申报处	Luggage Declaration
行人、自行车横过马路请使用天桥	Pedestrians and cyclists are to walk along this overpass to the opposite side of the road
行人绕行	Pedestrians Detour
行善积德	One good turn deserves another
行驶中请勿站立	Please be seated when the bus is moving
行政办公	administrative office
好的开始，是成功的一半	Well begun is half done
好用实惠，物美价廉	Easy to use and great value too
和传统昨天告别，向规范未来迈进	Depart from the past and progress into the future
核医学科	nuclear medicine clinic
亨得利	Hengdeli Clocks & Watches
红灯停、绿灯行	Red Light, Stop; Green Light, Go
红酒白酒	Wines & spirits
红线区内严禁停车	RED ROUTE No stopping at any time
后区	Back Area
后装治疗室	brachytherapy room
厚基础 宽知识 强能力	Solidify your base and richen your knowledge to improve your ability
候机室	Waiting Room
呼吸道传染病门诊	respiratory infectious clinic
呼吸内科(鼾症门诊)	respiratory medicine snoring clinic
呼吸内科(哮喘门诊)	respiratory medicine asthma clinic
呼吸治疗员	Respiratory Therapist
湖区水深，注意安全	Deep water Beware
户外用品	OUTDOOR GOODS
户外运动系列	Out-Door Sports Series
护肤用品	Skin Care Products
护士	Nurse
护士站	nurse station
护士值班室	on-duty room
化学	Chemistry
化验技员	Laboratory Technician
化验室	Laboratory
化妆间	Dressing Room
化妆品	Cosmetics
化妆室	Dressing Room
画廊	Gallery
欢迎参观	Inspections Welcome
欢迎登机	Welcome aboard
欢迎您选用	Thanks for Shopping Here
欢迎您再来	We are always here to serve you
欢迎品尝	Please ask to taste
欢迎提出批评与建议	Criticism & Suggestions Welcome
环境	Environmental Science
环境是生命，文化是灵魂	Circumstance is life; culture is soul
换乘	Transit
换药室	dressing room
黄金	Gold
黄金买卖业务	Gold Dealings
黄线内候车	Wait Behind Yellow Line
回单箱	Bill Box
汇总发票	General Invoice Issuing
会而有议，议而有决，决而有行，行而有果	Discussion is the essential part of a meeting that concludes decisions, which shall be followed by execution
会计室	Accountant's Office
会客室	Reception Room
会务时间，暂停营业	Closed For Meeting
会议设施	Conference facilities
会议室	Meeting-room
会员俱乐部	Members Only
会员优先	Particulars of membership
会员自动售票机	Ticket Vending Machine（For Members）
自动售票机	Ticket Vending Machine
会长	President
活到老，学到老	It is never too old to learn
火警	Fire Alarm
火警119	Fire Alarm 119
火警电话	Fire Call
火警电话119	Fire Call 119
火可帮人，也可伤人	Fire is a Good Servant But a Bad Master
货车专线	Truck Route
货梯	Cargo Lift
货已售完	All Sold Out
机场班车	Airports shuttle
机场高速双方向施工，请减速慢行	Two-way Construction. Along Airport Expwy, Slow Down
机场休息室	Airport lounges
电脑房	Computer-room
机房	Machine Room
机房重地，乘客止步	Machine Room. No Admittance
机房重地,非公莫入	Machine Room. Staff Only
机械	Mechanics
基础	Basics
即将开业	Opening soon
即将驶出高速	Approaching end of motorway
即将展出	Forthcoming exhibitions
急救中心	first aid center
急诊	emergency
急诊ICU病房	ICU ward
急诊挂号收费	registration & charge emergency
急诊化验室	emergency laboratory
急诊内科	internal medicine
急诊室	Emergency Room
急诊手术室	emergency operation room
急诊外科	surgery
急诊住院收费处	emergency inpatient charging service
急转弯请慢行	Drive Slowly on Sharp Turns
集体票	Group Tour Tickets
集体外借部	Book Borrowing for Groups
己所不欲，勿施于人	Do as you would be done by
脊椎神经科	Chiropractic
计程车站，禁止停车	Taxi Stand No Parking
计划生育室（无痛人流室）	family planning
计算机办公室	Computer office
计算机室	Computer Room
忌满地挖坑，要钻井出水	Never give up easily; dig the tunnel through
加工室	Processing Room
加强和遵守法纪，确保违法者得到应有的惩罚	Have the law and discipline abided by and strictly enforced and ensure law breakers duely punished
加洗	Extra Copies
加油站	Filling Station
加州兰美食街	Jiazhoulan Food Court
家访护士	Home Visiting Nurse
家居	Home Furnishing
家具配备高档，设施配备精良	Equipped and furnished to a high standard
家具现降价销售	Furniture sale now on
家庭科	Family Practice
家庭式客房，紧靠市中心和火车站	Friendly family guest house near city center and railway station
甲板装运	KEEP ON DECK
甲状腺内科、风湿病科	thyroid clinic、rheumatology
假日某些车站关闭	Certain stations are closed on public holidays
假日休息，暂停营业	Closed For Holiday
价格	Price
价格按季节和公寓大小而定	Price according to season and size of flat
驾车时禁用手机	Don't Use Cellphones When Driving
坚持不懈，源源不断出成果	Never stop, positive result will continuously come out
检查测试坚持做,一点问题不放过	Consist makeing inspection to avoid the products fault be caused
检查室	examination room
检查武器后方可入内	Cheek All Weapons Before Entering
检举箱	Complaint Box
检录处	Call Room
检票后出站	Cheek Tickets Before Going Out
检票口	Ticket Check
检验诊断中心	Lab.Diagnosis center
检验中心	laboratory center emergency
减速行驶	Reduce Speed Now
减速慢行，避让行人	Slow Down. Give Way to Pedestrians
简介	Introduction
建筑	Architecture
建筑工地	Construction Site
贱卖	Save your money
健康技员	Health Technician
健康是最大的财富，知识是永恒的追求	Health is the greatest fortune, and knowledge is our permanent pursuit
健身房	Gymnasium
鉴于治安考虑，请您随时保持警惕，将您的包、袋、个人物品随身携带，谢谢	Please keep your bags and personal belongings with you all the time. Thank you
讲究实效、完善管理、提升品质、增创效益	Strive for actual effect, perfect management, improve quality, and create efficiency
交叉路	Diverted traffic
交叉路口	Diverted traffic
交款后仍引起报警器鸣响的读者，请您持所购商品到开票处重新消磁，由于设备原因给您造成不便，特表衷心歉意	If the alarm beeps after you pay, please go to the counter with purchased books for re-demagnetization. We are sincerely sorry for any inconvenience
骄傲必败	Pride goes before a fall
脚病治疗中心	Treatment Center for Foot Ailments
叫号机	Queuing Machine
教师的敬业就是学校的希望，社会的认可就是学校的成功	The teacher’s devotion is the hope of the school and the society’s acceptance is the success of the school
教师最佳的教育方法是做出榜样	The best way of the teacher to teach students is to set up a good example
教务处	Office of Educational Administration
教学大楼	Teaching & Learning Building
教育类	Education
阶梯教室	Amphitheater
接待室	Reception Room
接生房	Labor and Delivery
接生护士	Nurse Midwife
接受生活挑战，培养全面素质	Brave the challenge of life, and cultivate your comprehensive quality
节假日不营业	Closed on Weekends & Public Holidays
节假日营业时间	Business Hours on Holidays
节假日照常营业	Open for Public Holiday
节约粮食	Save Food
节约能源	Save Energy
节约用电	Please Save Electricity
节约用水	Please Save Water
节约用纸保护地球	Save paper and live a low carbon life
结肠直肠外科	Colorectal Surgery
今不营业	No-Business Today
今日的质量,明日的市场	Today's quality is prepared for tomorrow market
今日盘存，营业暂停	Closed For Stock-Taking
今日事，今日毕	Don`t put off till tomorrow what should be done today
今日特色菜	Today's specialties
此门不通	Closed
今日休息	Closed
今晚最后一列火车是到……	The last train this evening will be the service to …
金融证券	Finance & Securities
金属	Metal
金银珠宝	Jewelry
仅供参观	For Inspection Only
仅供参考，不得带出	All Books For Reference, Not To Be Taken Out Of The Room
仅供非吸烟者	Non-smokers only
仅供施工人员使用	This is just for construction personnel
仅限规定的日期，对公众开放	Open to the public on selected days only
仅作火警安全出口	Fire exit only
紧急按钮	Emergency Button
紧急情况 击碎玻璃	Break Glass in Emergency
紧急求救信号	SOS
紧急逃生工具/仅供紧急情况下使用	Emergency Use Only
紧急停梯	Emergency Stop Button
紧靠市中心，去……交通便利	Easy access to…Close to city center
紧握扶手	Hold the Handrail
谨防扒手	Beware of Pickpocket
进港	Arrivals
进口/原版引进	Imported
进口	Imported
进路	Way In
进前敲门	Knock
进站	Arrival
近朱者赤，近墨者黑	Keep good men company and you shall be of the number
禁酒区	Alcohol Free Zone
禁携宠物	No pets allowed
禁止（人）停留	No Lingering/ No Loitering
禁止摆卖	Vendors Prohibited/ No Vendors
禁止摆卖	No venders
禁止并行骑车	Abreast Cycling Prohibited
禁止超车	Do Not Pass
禁止超高	Don't Exceed Height Limit
禁止超载	Don't Exceed Weight Limit
禁止出入	Please Remain Seated During Performance
禁止触摸	Don’t Touch
禁止此地小便	No Urinating
禁止存储危险货物	Dangerous Cargos Prohibited
禁止打猎	Shooting Prohibited
禁止导游讲解	No briefing of groups
禁止倒垃圾	No nuisance
禁止掉头	No U Turn
禁止翻越	Climbing Over is Prohibited
禁止挟带的物品	Restricted Articles
禁止酒后驾车/严禁酒后开车	Don't Drink & Drive/Drink & Drive Banned
禁止酒后驾车	Don't Drink & Drive
严禁酒后开车	Don't Drink & Drive
禁止开窗	Don't Open Windows
禁止跨越	No Crossing/ No Climbing
禁止浏览黄色网站	Pornographic Website Visit Prohibited
禁止鸣笛/禁鸣喇叭	No Honking
禁止鸣笛	No Honking
禁鸣喇叭	No Honking
禁止鸣喇叭	No honking
禁止拍照	Cameras are forbidden
禁止拍照	Cameras Forbidden
禁止攀摘花技	Forbidden To Injure Flowers And Trees
禁止抛物	No littering
禁止燃放烟花爆竹	No Fireworks Allowed
禁止入内	No admittance
禁止驶人	No entry
禁止手扶门	Keep Hands off theDoor
禁止跳下（轨道）	Stay Clear from Tracks
禁止停放自行车，否则警察拖走	No bicycles, police will remove
禁止停留	No stopping
禁止通行	No Passing
禁止涂写	No scribbling
禁止无照经营	No Unlicensed Vendors
禁止小便	Commit No Nuisance
禁止携带腐蚀性物品乘扶梯	Carrying corrosive articles in the elevator/lift prohibited
禁止携带气球	No Balloons
禁止携带易燃易爆物品	Inflammables & Explosives Strictly Prohibited
禁止携犬入内	Dogs Not Allowed
禁止喧哗	No Shouting
禁止雪道中间停留	Don't Stop on Ski Slope
禁止用扶梯运送货物	Transporting cargo by escalator prohibited
禁止用手钩	No hooking
禁止游泳钓鱼	Bathing and fishing prohibited
禁止在电扶梯上追逐嬉闹	No Running on Escalator
禁止招贴	Post no bills
禁坐栏杆	No Sitting on the Handrail
京城茶叶第一街	Beijing No.1 Tea Street
经护士允许，方可入内	Check With Nurse Before Entering
经理	Manager
精品男鞋	Designer Men's Shoes
精品男装	Designer Men's Wear
精品女鞋	Women's Luxury Shoes
精品区	Designer Frames
精神治疗科	Psychiatry
精通英语 走遍天下	Master English you can roam the world
精选超市	Gourmet Supermarket
警察特别提示：自行车将被清走	Police notice: bicycles will be removed
警察提供走失帮助	Missing, police appeal for assistance
警车专用停车位	Police Cars Only
警告 防火卷帘门请勿堆物，开关操作时请勿站人	Warning: Keep everything clear of the automatic fireproof sliding door. Stand clear when in operation
警戒线 勿超越	Police Line Do Not Cross
警卫室	Guard Room
净重	Net Weight
敬告	Attention
敬告乘客:	Dear Passengers:
静	Silence
静心才能虚心，虚心方可进步	Stillness in one’s heart can make one modest and modesty can make one progressive
酒	Alcohol/Liquor
酒吧	Bar
酒店	Pub
酒后不能上船	Those under the influence of alcohol not allowed aboard
酒水	Alcohol & Beverages
居家健康服务、药疗、物理治疗等	Home Health Service
家居用品	Household Supplies
举报信箱/意见箱	Suggestions & Complaints Box
意见箱	Suggestions & Complaints Box
巨检室	cutting room
剧场	Theater
剧毒物品	Poisonous Materials
剧团/艺术团	Troupe
剧院电影院	Theatre and Cinema
军事	Military Science
咖啡	Coffee
咖啡店	Coffee Shop
咖啡馆	Cafe
咖啡厅	Cafe
开	On
开店时间	Opening time
营业时间	Opening hours
开户需带证件	Bring proof of identity to open your account
开口在此	OPEN HERE
开水间	water supply room
开拓者的足迹是历史前进的起点	The footmarks of pioneers are the starting point of historical progress
奋斗者的肩头是科学登高的阶梯	The shoulders of explorers are the ladder in scaling new heights in science
开往（长沙、湘潭、株洲）	For (Changsha, Xiangtan, Zhuzhou)
看台区	Audience Area
康复病房	rehabilitation ward
康复门诊	rehabilitation out-parient
考古	Archeology
考核目的是提升，考核来源是目标目标导向	The purpose for assessment is to improve, the source is target. Target is guidance
烤鸭店	Roast Duck Restaurant
靠右行驶	Keep right
靠右走	Right Side
靠左/右	Keep Right/Left
科学类	Science
科学是指挥官，实践是战士	Science is a commander while practice is a soldier
科研中心	scientific research center
可通过各地旅游代理商定票	Booking made through most travel agents
可以U形转弯	U Turn Ok
可以进行演示	Demonstration available
客房	Guest Room
客户服务热线	Customer Service Line
客户服务中心	Service Center
客户经理	Client Manager
客满	Full house
空气质量净化区	Air quality improvement area
空调	Air Conditioner
空调开放	Air conditioned
空调全面开放	Fully air conditioned
口腔科	Dentistry
口腔清洁用品	Oral Hygiene Products
跨楼层支票购物	Cheque purchases on any/every floor
快车先行	Give Way
快进	F.F
快乐生活每一天，开心享受每一餐	Live a happy life every day, enjoy nice meals every time
垃圾倒此	Dumping Here
垃圾箱	Trash
废物箱	Trash
拉	Pull
来宾登记	Registration
来宾止步	Visitors Declined
来客必须到办公室登记	All visitors must report to office
来客请到门房登记	All visitors please report to the gate warder
来客请登记	Please Sign the Guest Register
来客停车场	Guest's car park
来料检验按标准,产品质量有保证	Check the raw material seriously according to standard to ensure the material
莱太花卉街	Laitai Flowers & Plants Street
老、幼乘梯需家人陪同	The elderly and children must be accompanied
老年活动中心	Senior Citizen Activity Center
老年人、残疾人、军人优先	Priortiy for the Elderly, Disabled ＆ Servicemen
老人，残疾人及抱小孩的妇女专座	These seats are meant for elderly and handicapped persons & women with child
老人、儿童乘电梯请由家人陪同	The elderly and children must be accompanied when taking the escalator
老人病专科	Geriatrics
老人孩子须有成人陪同	The elderly & children must be accompanied by an adult
老人优惠	Reduced rates for elderly
老幼病残孕专座	Priority seats for the elderly, disabled and mother with child
乐器	Musical Instruments
乐于学习，善于沟通，敢于承担，勇于创新	Be keen on learning, good at communicating, courageous in undertaking, and brave in innovating
雷达测速	Speed Checked By Radar
冷	Cold
冷藏	KEEP COOL
冷冻切片室	frozen section room
离避车道1/4英里	Turnout l/4 Mile
离港时间	Departure airport
离开时请关门	Please close the door on leaving
离开时请您带上您的包	Please Take Your Belongings When Leaving
离前关灯	Turn Off The Light Before You Leave
礼品包装	Gift Wrapping/Gift Packing
礼品展示柜	Gifts Display Cabinet
理发师	Hairdresser
理货员	Tally Clerk
力求一次做好,争取最大效益	Pursuit to do the best to get the best profits
力学	Dynamics
历史	History
励志	Self-Improvement
连续转弯	Consecutive curves
良好的开端是成功的一半	Well begun is half done
凉菜	Cold Dishes
聊天区	Chatting Zone
林业	Forestry
零风险零事故	Towards Zero Risk, Beyond Zero Disaster
领带	Tie
留学	Overseas Study
留言板	Message Board
流行服饰	Fashion
流血流汗不流泪，掉皮掉肉不掉队	Keep a stiff upper lip
六点停止入园	Last admission: 6:00
六年级办公室	Office of Grade Six
楼内禁止吸烟	This is a smoke free building
楼上	Upstairs
楼梯	Stairs
楼梯上下道切勿停留	Do Not Stand in Stairway
楼下	Downstairs
路滑区域	Slide Area
乱扔垃圾者罚款5元	Five Yuan For Throwing Trash On The Street
轮椅入口	Wheelchair Entrance Only
落后须奋进	Far behind must follow the faster
落石	Falling Rocks
旅店宾馆	Hotels and Hostels
旅行社	Travel Agency
旅行支票收手续费	Travelers cheque commission
旅客休息室	Customers lounges
旅游	Tourism
旅游观光	Tour and Sightseeing
旅游运动鞋	Sneakers
麻醉科	Anesthesiology
马连道茶叶街	Maliandao Tea Street
马路施工，请绕行	Road Up. Detour
马戏场	Circus
买二赠一	Buy two get one free
买一赠一	Buy One and Get Anyone Free
买着放心	Peace of mind from the minute you buy
卖场部	Sales Department
卖出价	Sell to customer rate
卖品部	Shop
满员	full up
慢行	Slow Down
毛巾	Towels
毛织	Woolens
贸易	Trade
贸易中心	Trade Center
没有措施免谈管理	Without measures, there's no way for management
没有计划如何工作	Without plans, there's no way for work
没有汗水，没有幸福	No sweet without sweat
没有品质便没有企业的明天	No quality, no future
没有完美的个人，只有完美的团队团队无敌	There is no perfect individual, only a perfect team Team, the greatest Power
没有学识就是盲人	Without learning, without eyes
没有执行力就没有竞争力	Without execution, there is no competition
每日特色菜	Daily specials
每天进一步，踏上成功路	A step forward everyday leads to success
每天开放	Open daily
每位学生的潜能远远超过已经实现的一切	Every student can achieve much more than what he has done
美发沙龙	Hair Dressing Salon
美发师	Hair Stylist
美容美发中心	Beauty Salon
美容美体中心（养生馆、俱乐部）	Beauty and Body Care (Health Club)
美容师	Beautician
美容院	Beauty Center
美食城	Food Palace
美食街	Food Street
美术	Fine Arts
美术办公室	Fine Arts Office
美术室	Painting Room
美味佳肴，各种饮料	Superb cuisine and wide selection of drinks
门口堵塞，危险	Obstruction of the door can be dangerous
门前不准停车或堆放杂物	No parking or materials in front of doors
门前禁止停车	No parking in front of this gate
门卫	Guard
门诊	out-parient
门诊手术中心（一般非严重性手术）	Outpatient Surgical Center
门诊手术中心	Outpatient Surgical Center
泌尿科	Urology
免费	Free of charge
免费入场	Admission free
免费上网	Free Internet access
免费送货上门	Free delivery to your door
免费通行	Toll free
免疫室	immunology lab
免疫组化室	immunohistology lab
面包	Bread
面包店	Bakery
面包糕点	Bread and Cakes
面点	Pastries
面食	Wheaten Food
灭火器箱	Fire Extinguisher
灭火消防器材	Fire Extinguisher
灭火专用	For Use Only in Case of Fire
名录	Directories
名烟名酒	Brand Name Tobacco and Alcohol/Liquor
明智的购物，透明的价格	Brighter shopping, brighter prices
鸣笛	Sound Horn
模拟定位机	simulator
末期护理	Hospice
莫触高压线	Don't Touch High-Tension Wire
奶粉	Powdered Milk
男厕	Men
男厕所	Men
男裤衬衫	Men's Pants and Shirts
男女公厕	Unisex toilet
男女鞋帽采购部	Shoes and Hats Purchasing Department
男配饰	Men's Accessories
男士服饰	Men's wear
男士皮鞋	Men's Leather Shoes
男士体育服务部	Service Department for Men's Sports Goods
男士休闲装	Men's Casual Wear
男士正装	Men's Suits
男卫生间	male
男洗手间	Gents
男鞋	Men's Shoes
男性科	andrology
南区	South Area
南台	South Platform
内部施工，暂停开放	Under Construction. Temporarily Closed
内分泌科	Endocrinology
内分泌内科、糖尿病科	endocrinology diabetes clinic
内科	Internal Medicine
内科病房	Medical Ward
内科值班室	physican on call
内科重症室	Medical Intensive Care Unit (MICU)
内衣	Underwear
内有照片	Photos Enclosed
内装空调，请关门窗	Air-Conditioned Area, Please Keep The Doors And Windows Closed
你的自觉贡献，才有公司的辉煌	Your dedication contributes to the company’s prosperity
你思考,我思考,品质提升难不倒	Raise up production quality is our responsibilities
逆水行舟，不进则退	He who does not advance loses ground
年糕杨	Yang's Rice Cakes
年鉴	Yearbooks
年票	Annual Ticket
您先请	After you
您在此	You Are Here
宁可千日慎重，不可一日大意	Don’t Be Careless, Work Safety at All Times
宁愿事前检查,不可事后返工	Re-prepared checking rather than repeating job
牛街民族特色街区	Niujie Islamic Culture District
扭转习惯 严把内控	Stick to best practices; Strengthen corporate governance
弄虚作假，心怀不轨，私利团体， 背叛公司	Resort to deceit, cherish evil designs, self-interest groups, betray one's company
女厕所	Women
女袋	LADIES' BAGS
女配饰/女士饰品	Women's Accessories
女士精品采购部	Women's Choice Goods Purchasing Department
女士内衣裤/内衣	LADIES' UNDERWEAR
女士皮鞋	Women's Leather Shoes
女士休闲采购部	Women's Casual Wear Purchasing Department
女士休闲服装	Women's Casual Wear
女卫生间	toilet(female)
女洗手间	toilet(female)
女鞋	Women's Shoes
女子美容坊（生活馆、工作室）	Ladies' Beauty Shop (Lounge and Studio)
女子舍宾	Women Shaping
爬坡车道	Steep Grade
怕压，切勿放置重货	NOT TO BE STOWED UNDER HEAVY CARGO
拍片室	radiographic room
排	Row
排队购票 LIQUID液体物品	Line Up For Tickets
排行榜	Ranking List
排练厅	Rehearsal Room
配餐室	kitchen
配电设施:2米范围内严禁放置易燃物品	Power supply facilities: No flammable materials allowed within 2 meters
配电室	power station
配件送货上门	Accessories & spares delivered to your door
配镜区	Glasses Prescription
皮肤病 性病科	dermatology STP clinic
皮肤科	Dermatology
皮服/皮衣	Leatherwear
皮革毛草	Leatherwear and Furs
皮具	Leatherware
皮具箱包	LEATHER & SUITCASE
啤酒	Beer
票不可交换，也不能按购买价退票	This ticket will not be exchanged nor the purchase price refunded
票价包括所有费用	All-inclusive ticket
票经售出，概不退换	Tickets cannot be changed or money refunded
票售出后，概不退换	Ticket Cannot Be Exchanged, Nor Money Refunded
票务室	Ticket Office
票已售出，概不退换	No Refund. No Exchange
票在销售，售完为止	Tickets are subject to availability
品尝夏季各种食品	Try our summer range of food
品名	Product Name
品质管理讲技巧,沟通协调最重要	The improtant quality magagemtn is based on professional skills and commuication
品质你我做得好,顾客留住不会跑	Good quality equals solid customers
品质是做出来的,不是检验出来的	Quality is being made instead of by checking
凭此宣传品优惠15%	15% off with this flyer
凭票入场	Admission By Ticket Only
凭票上车	Ticket Holders Only
凭请柬入场	Admission By Invitation Card Only
凭完整包装和出售发票退换	No Refunds Or Exchanges Without Complete Factory Packing And Sales Slip
瓶罐	Bottle & Can
破漏包装须移至安全处	LEAKING PACKAGE MUST BE REMOVED TO A SAFE PLACE
普兰德干洗店	Pride Laundry
普通柜员	Junior Counter Associates
普通内科门诊	medicine
普通全科	General Practice
普通外科	General Surgery
其他	Other
其他危险	Other Dangers
其它方面	Others
其它医疗专业人员	Other Health Care Professionals
骑自行车不得带人	No Cycling Double
骑自行车出入请下车	Please get off your bicycle when passing through
汽车行使中，严禁与司机交谈	When the bus is moving, do not speak to the driver
汽车和停车	Car and Parking
汽车用品	Automobile Products
千足金摆件	99.9% Gold Ornaments
千足金耳钉	99.9% Gold Ear Studs
千足金耳环	99.9% Gold Earrings
千足金戒指	99.9% Gold Ring
千足金手链	99.9% Gold Bracelet
千足金项链	99.9% Gold Necklace
千足金项坠	99.9% Gold Pendant
前方500m 进入无路灯路段	No Road Lights after 500m
前方道路翻修	Road Work Ahead
前方桥低	Low bridge ahead
前方施工，禁止通行	Road ahead closed
前方施工，请绕行	Road up detour
前方是超车道	Passing Lane Ahead
前方弯路慢行	Bend Ahead. Slow Down
前方斜坡请慢行	Slope Ahead, Drive Slowly
前方学校请慢行	Slow, school
前方有事故，请减速行驶	Accident Ahead, Slow Down
前后停车	Car park front and rear
前廊	Front Aisle
前门入口	Front entrance
前面连续转弯	Consecutive Curves Ahead
前区	Front Area
前往上海	For Shanghai
钱款当面点清，离开后概不负责	Please Check And See If The Money Is Right, We Are Not Responsible After You Leave
抢救监护室	critical care and monitoring room
抢救室	intensive-care room
巧克力	Chocolates
切忌钩挂	USE NO HOOKS
切忌近火（受热、受潮）	KEEP AWAY FROM FIRE (HEAT, MOISTURE)
切忌近火	KEEP AWAY FROM FIRE
切勿倒置	Keep Upright
切勿挤压	DO NOT CRUSH
切勿近火	Keep Away From Fire
切勿平放	NOT TO BE LAID FLAT
切勿倾倒	Do not turn upside down
切勿入内	Danger ,keep out
切勿受潮	Keep it dry
切勿坠落	DO NOT DROP
寝具毛线	Bedding and Woolens
青春服饰	Teens Clothes & Accessories
青少年活动中心	Youth Activity Center
轻货放在上面	Light cargo on top
清仓大甩卖	Final Clear Out
清创手术室	Operation Room
请爱护洞内景观	Please Protect the Cave Scenery
请爱护公共财产	Protect Public Property
请爱护林木	Please Protect the Trees
请爱护书籍	Please Take Care of the Books
请爱护文物/保护文物	Please Protect Cultural Relics
请安静	Quiet Please
请按车道行驶	Use Correct Lane
请按门票所示线路参观	Please follow the visitor route indicated on your guide ticket
请排队等候	Please queue here
请把包放到柜台	Please leave bags at the counter
请保持办公室整洁，使用所提供的垃圾箱	Please keep this office tidy and use the bins provided
请保持场内清洁	Please Keep the Area Clean
